"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"25.06.2020","9.247,5","9.300,8","9.327,3","9.022,6","524,45K","-0,59%"
"24.06.2020","9.302,0","9.624,6","9.667,4","9.223,0","515,78K","-3,35%"
"23.06.2020","9.624,6","9.683,9","9.715,6","9.581,8","375,49K","-0,61%"
"22.06.2020","9.683,7","9.296,5","9.751,9","9.285,8","523,32K","4,17%"
"21.06.2020","9.296,4","9.358,8","9.411,2","9.288,5","335,99K","-0,67%"
"20.06.2020","9.358,8","9.314,0","9.394,5","9.199,8","383,44K","0,48%"
"19.06.2020","9.314,0","9.390,3","9.424,0","9.249,6","478,49K","-0,79%"
"18.06.2020","9.388,1","9.464,6","9.480,4","9.289,3","391,67K","-0,81%"
"17.06.2020","9.464,6","9.523,6","9.543,6","9.258,2","446,45K","-0,62%"
"16.06.2020","9.523,5","9.425,6","9.577,1","9.379,3","545,47K","1,04%"
"15.06.2020","9.425,4","9.345,5","9.489,7","8.925,6","750,90K","0,86%"
"14.06.2020","9.345,3","9.470,7","9.474,7","9.264,4","311,27K","-1,33%"
"13.06.2020","9.471,3","9.466,5","9.484,9","9.369,9","364,97K","0,05%"
"12.06.2020","9.466,6","9.283,7","9.547,5","9.249,4","529,28K","1,97%"
"11.06.2020","9.283,2","9.878,9","9.945,2","9.139,1","919,30K","-6,03%"
"10.06.2020","9.878,8","9.768,8","9.970,9","9.710,7","533,55K","1,13%"
"09.06.2020","9.768,8","9.777,7","9.857,2","9.616,6","479,55K","-0,09%"
"08.06.2020","9.777,9","9.743,4","9.788,2","9.662,3","431,04K","0,36%"
"07.06.2020","9.742,6","9.669,6","9.791,8","9.417,4","549,20K","0,76%"
"06.06.2020","9.669,6","9.630,8","9.733,1","9.549,5","370,85K","0,40%"
"05.06.2020","9.631,2","9.794,0","9.846,1","9.628,7","527,05K","-1,67%"
"04.06.2020","9.794,4","9.667,2","9.864,4","9.490,9","593,66K","1,32%"
"03.06.2020","9.667,2","9.527,0","9.667,2","9.421,7","558,12K","1,47%"
"02.06.2020","9.527,6","10.190,7","10.207,3","9.347,3","1,06M","-6,49%"
"01.06.2020","10.189,3","9.454,5","10.301,8","9.429,7","796,68K","7,77%"
"31.05.2020","9.454,8","9.692,9","9.695,6","9.406,2","645,27K","-2,45%"
"30.05.2020","9.692,5","9.424,8","9.729,9","9.352,7","720,62K","2,84%"
"29.05.2020","9.424,8","9.573,4","9.596,5","9.358,1","814,33K","-1,54%"
"28.05.2020","9.572,2","9.199,8","9.610,8","9.119,2","948,86K","4,06%"
"27.05.2020","9.199,1","8.842,3","9.210,9","8.818,6","810,89K","4,03%"
"26.05.2020","8.842,5","8.897,7","8.994,6","8.713,9","784,92K","-0,63%"
"25.05.2020","8.898,2","8.728,0","8.959,5","8.666,1","941,89K","1,95%"
"24.05.2020","8.728,2","9.177,9","9.292,0","8.724,1","1,11M","-4,89%"
"23.05.2020","9.177,0","9.169,8","9.303,2","9.098,9","812,56K","0,08%"
"22.05.2020","9.169,7","9.058,2","9.253,5","8.952,1","914,59K","1,22%"
"21.05.2020","9.059,0","9.511,6","9.567,1","8.833,6","1,41M","-4,76%"
"20.05.2020","9.512,3","9.773,0","9.829,3","9.368,4","1,15M","-2,67%"
"19.05.2020","9.773,3","9.730,8","9.883,9","9.498,7","1,16M","0,44%"
"18.05.2020","9.730,7","9.678,4","9.930,2","9.524,4","1,18M","0,55%"
"17.05.2020","9.677,7","9.376,6","9.866,0","9.327,8","1,18M","3,18%"
"16.05.2020","9.379,5","9.318,1","9.579,0","9.233,0","1,10M","0,66%"
"15.05.2020","9.318,0","9.778,6","9.819,6","9.223,2","1,56M","-4,71%"
"14.05.2020","9.778,4","9.298,7","9.887,5","9.265,8","1,77M","5,16%"
"13.05.2020","9.298,7","8.813,9","9.384,6","8.799,1","1,50M","5,50%"
"12.05.2020","8.813,8","8.569,8","8.964,5","8.542,8","1,35M","2,73%"
"11.05.2020","8.579,8","8.737,6","9.129,6","8.235,6","2,29M","-1,82%"
